default_modelparameterID,organismID,parameterID,value,description
1,1,1,400.0,Setpoint for agitation speed
2,1,2,6.7,Value of pH Setpoint
3,1,3,20.0,Value of pO2 setpoint
4,1,4,32.0,Value of temperature Setpoint
5,1,5,14.0,Liquid weight setpoint
6,1,6,6.0,Value of chosen aeration rate
7,1,7,7.5,Aeration rate AIR extern
8,1,8,0.0,Aeration rate O2 extern
9,1,9,0.0,Aeration rate N2 extern
10,1,10,0.0,Aeration rate CO2 extern
11,1,11,0.5,Pressure setpoint
12,1,12,20.0,Harvest rate
13,1,13,0.5,Substrate concentration setpoint for reservoir 1
14,1,16,0.1,Pump rate setpoint for reservoir 1
15,1,19,3.0,Initial cell concentration t = 0 h
16,1,20,100.0,Partial pressure of dissolved oxygen at t = 0 h
17,1,21,7.5,Initial pH at t = 0 h
18,1,22,10.0,Initial volumme in reactor
19,1,23,32.0,Initial temperature in liquid phase at t = 0 h
20,1,24,32.0,Initial temperature in double jacket at t = 0 h
21,1,25,5.0,Initial glucose concentration t = 0 h
22,1,26,0.0,Initial glycerine concentration t = 0 h
23,1,27,0.0,Initial acetate concentration t = 0 h
24,1,28,0.0,Product concentration in liquid at t = 0 h
25,1,29,0.0,Product concentration in cells at t = 0 h
26,1,30,0.014735071,O2-concentration in liquid phase at t = 0 h
27,1,31,150000.0,Pressure at calibration
28,1,32,0.2094,Molar concentration of oxygen at calibration
29,1,33,0.004,Molar concentration of carbon dioxide at calibration
30,1,34,200.0,Glucose concentration in reservoir
31,1,35,0.0,Gylcerin concentration in reservoir
32,1,36,0.0,Methanol concentration in reservoir
33,1,37,0.0,Concentration of cells in glucose reservoir
34,1,38,5.0,Glucose reservoir volume
35,1,39,1.25,Glucose reservoir density
36,1,40,0.0,Dissolved oxygen concentration in reservoir
37,1,41,0.0,Concentration of product in glucose reservoir
38,1,42,0.0,Total CO2 concentration in reservoir
39,1,61,0.1,Pulse feed factor of reservoir 1
40,1,62,0.5,Maximum pump rate of reservoir 1
41,1,63,0.1,Growth rate set value for fed-batch 1
42,1,70,1.0,Feed control reservoir index
43,1,71,0.0,Produced acid in liquid phase t = 0 h
44,1,72,0.0,Titration acid in liquid phase t = 0 h
45,1,73,0.05,Ammonia concentration in liquid phase t = 0 h
46,1,74,0.098,Molar buffer acid concentration in liquid phase t = 0 h
47,1,75,0.03,Molar buffer base concentration in liquid phase t = 0 h
48,1,76,2.44,pH-acid reservoir
49,1,77,16.47,pH-base reservoir concentration (ammonia)
50,1,78,0.0,Total CO2 concentration in acid reservoir
51,1,79,0.0,Total CO2 concentration in base reservoir
52,1,80,0.0,Dissolved O2 concentration in acid reservoir
53,1,81,0.0,Dissolved O2 concentration in base reservoir
54,1,82,0.0154,1. titration acid dissociation constant (H2SO3 to HSO3-)
55,1,83,1.02e-07,2. tritration acid dissociation constant (HSO3- to SO3--)
56,1,84,1.76e-05,Ammonia (pH base) dissociation constant (NH3 to NH4+)
57,1,85,0.00462,Stripping constant ammonia
58,1,86,0.00752,1. buffer dissociation constant (H3PO4 to H2PO4-)
59,1,87,6.23e-08,2. buffer dissociation constant (H2PO4- to HPO4--)
60,1,88,2.2e-13,3. buffer dissociation constant (HPO4-- to PO4---)
61,1,89,1.76e-05,Acetate (product) dissociation constant (CH3COOH to CH3COO-)
62,1,90,82.0,Molar mass of titration acid
63,1,91,17.0,Molar mass of ammonia
64,1,92,1.0,"pH control mode (1: auto, 0: manual)"
65,1,93,1.0,"Temperature control mode (1: auto, 0: manual)"
66,1,94,1.0,"pO2 control mode (1: auto, 0: manual)"
67,1,95,0.0,Signal for liquid weight harvest control
68,1,96,0.0,"Feed control mode (1: feed control, 0: manual)"
69,1,97,0.0,Signal for inoculation at start of simulation
70,1,98,1.0,Signal for stirrer to be turned on/off
71,1,99,1.0,Signal for aeration to be turned on/off
72,1,100,1.0,Signal for aeration with AIR
73,1,101,1.0,Signal for aeration with O2
74,1,102,0.0,Signal for aeration with N2
75,1,103,0.0,Signal for aeration with CO2
76,1,104,0.0,Signal for acid addition
77,1,105,0.0,Signal for alkali addition
78,1,106,0.0,Signal for antifoam addition
79,1,107,1.0,Signal for heating
80,1,108,1.0,Signal for cooling
81,1,109,0.0,Signal for harvest to be turned on/off
82,1,110,0.0,Signal for feed to be turned on/off
83,1,112,0.0,Signal for open-loop feed control with reservoir 1
84,1,114,10000.0,Gain of P part of pH master controller
85,1,115,1.0,Gain of P part of acid pH slave controller
86,1,116,-1.0,Gain of P part of base pH slave controller
87,1,117,20.0,
88,1,118,8.0,Gain of P part of temperature master controller
89,1,119,0.1,Gain of I part of temperature master controller
90,1,120,10.0,Gain of P part of temperature heating slave controller
91,1,121,0.01,Gain of P part of temperature heating slave controller
92,1,122,20.0,
93,1,123,1.0,Gain of P part of agitation controller
94,1,124,60.0,Gain of I part of agitation controller
95,1,125,5.0,Gain of P part of aeration controller
96,1,126,0.002,Gain of D part of agitation controller
97,1,127,500.0,Gain of I part of aeration controller
98,1,128,0.005,Gain of D part of aeration controller
99,1,129,0.012,Gain of P part of gasmix controller
100,1,130,1.0,Gain of I part of gasmix controller
101,1,131,1e-05,Gain of D part of gasmix controller
102,1,132,-2.0,Gain of P part of feed controller
103,1,133,-15.0,Gain of I part of feed controller
104,1,134,-0.009,Gain of D part of feed controller
105,1,135,25.0,
106,1,136,10.0,Gain of P part of liquid weight controller
107,1,137,0.3,Gain of I part of liquid weight controller
108,1,138,1.0,Gain of D part of liquid weight controller
109,1,139,15.0,Gain of P part of feed controller of reservoir 1
110,1,140,500.0,Gain of I part of feed controller of reservoir 1
111,1,141,0.02,Gain of D part of feed controller of reservoir 1
112,1,148,100.0,
113,1,151,0.0,Setpoint for difference between measured pH and wanted pH
114,1,152,0.2094,Molar concentration of oxygen in AIR
115,1,153,0.0004,Molar concentration of carbondioxide in AIR
116,1,154,22.412,Gas volume under normal conditions
117,1,155,273.15,Gas temperature under normal conditions
118,1,156,8314.0,Gas constant
119,1,157,101330.0,Gas pressure under normal conditions
120,1,158,32.0,Molar mass of O2
121,1,159,44.0,Molar mass of CO2
122,1,160,1500.0,Mass flux in temperature cycle
123,1,161,0.001002,Viscosity of water
124,1,162,0.001,Viscosity at cXLeta
125,1,163,100.0,Refering cell concentration
126,1,164,1440000.0,O2 Henry constant
127,1,165,1448000.0,O2 Henry constant under normal conditions
128,1,166,30010.0,CO2 Henry constant
129,1,167,30010.0,CO2 Henry constant under normal conditions
130,1,168,-0.02723,Normed parameter of O2 Bunsen coefficient
131,1,169,0.0005627,Normed parameter of O2 Bunsen coefficient
132,1,170,-6.597e-06,Normed parameter of O2 Bunsen coefficient
133,1,171,3.28e-08,Normed parameter of O2 Bunsen coefficient
134,1,172,-0.03889,Normed parameter of CO2 Bunsen coefficient
135,1,173,0.0009442,Normed parameter of CO2 Bunsen coefficient
136,1,174,-1.328e-05,Normed parameter of CO2 Bunsen coefficient
137,1,175,8.11e-08,Normed parameter of CO2 Bunsen coefficient
138,1,176,4.31e-07,1. CO2 dissociation constant
139,1,177,5.61e-11,2. CO2 dissociation constant
140,1,178,0.5,Parameter for kLa calculation
141,1,179,0.5,Parameter for kLa calculation
142,1,180,-0.05,Parameter for kLa calculation
143,1,181,1.167,Specific heat capacity of water
144,1,182,2170.0,Evaporation enthalpie of water
145,1,183,1e-07,pH norm concentration
146,1,184,0.46,Maximum specific growth rate glucose
147,1,185,0.21921,Yield coefficient of gram cells per gram substrate
148,1,186,0.553,Substrate growth yield coefficient glucose
