parameterID,categoryID,name,tex,unit,tex_unit,type,internal_order,external_order
1,1,NStw,N_{Stw},1/min,min^{-1},editfield,1,101
2,1,pHw,pH_{w},-,-,editfield,2,102
3,1,pO2w,pO_{2w},%,%,editfield,3,103
4,1,thetaLw,\vartheta_{Lw},°C,°C,editfield,4,104
5,1,LWw,L_{Ww},kg,kg,editfield,5,105
6,1,FnGw,F_{nGw},l/min,lmin^{-1},editfield,6,106
7,1,FnAIRw,F_{nAIRw},l/min,lmin^{-1},editfield,7,107
8,1,FnO2w,F_{nO2w},l/min,lmin^{-1},editfield,8,108
9,1,FnN2w,F_{nN2w},l/min,lmin^{-1},editfield,9,109
10,1,FnCO2w,F_{nCO2w},l/min,lmin^{-1},editfield,10,110
11,1,deltapGw,\Deltap_{Gw},bar,bar,editfield,11,111
12,1,FHrelw,F_{Hrelw},%,%,editfield,12,112
13,1,cS1Lw,c_{S1Lw},g/l,gl^{-1},editfield,13,113
14,1,cS2Lw,c_{S2Lw},g/l,gl^{-1},editfield,14,114
15,1,cS3Lw,c_{S3Lw},g/l,gl^{-1},editfield,15,115
16,1,FR1w,F_{R1w},l/h,lh^{-1},editfield,16,116
17,1,FR2w,F_{R2w},l/h,lh^{-1},editfield,17,117
18,1,FR3w,F_{R3w},l/h,lh^{-1},editfield,18,118
19,2,cXL0,c_{XL0},g/l,gl^{-1},editfield,1,201
20,2,pO20,pO_{20},%,%,editfield,2,202
21,2,pH0,pH_{0},-,-,editfield,3,203
22,2,VL0,V_{L0},l,l,editfield,4,204
23,2,thetaL0,\vartheta_{L0},°C,°C,editfield,5,205
24,2,thetaD0,\vartheta_{D0},°C,°C,editfield,6,206
25,2,cS1L0,c_{S1L0},g/l,gl^{-1},editfield,7,207
26,2,cS2L0,c_{S2L0},g/l,gl^{-1},editfield,8,208
27,2,cS3L0,c_{S3L0},g/l,gl^{-1},editfield,9,209
28,2,cP1L0,c_{P1L0},g/l,gl^{-1},editfield,10,210
29,2,cP1X0,c_{P1X0},g/l,gl^{-1},editfield,11,211
30,2,cOL0,c_{OL0},g/l,gl^{-1},editfield,12,212
31,3,pGcal,p_{Gcal},n/m^2,nm^{-2},editfield,1,301
32,3,xOGcal,x_{OGcal},-,-,editfield,2,302
33,3,xCGcal,x_{CGcal},-,-,editfield,3,303
34,4,cS1R1,c_{S1R1},g/l,gl^{-1},editfield,1,401
