plot_variableID,templateID,variableID,selected_axis,limit_type,ymin,ymax,decimalID,colorID,linestyleID
1,1,1,1,1,0.0,100.0,1,8,1
2,1,2,1,1,0.0,5.0,1,15,1
3,1,3,0,1,0.0,10.0,2,19,1
4,1,4,0,1,0.0,0.001,4,9,1
5,1,5,1,1,0.0,10.0,4,18,1
6,1,6,0,1,0.0,10.0,3,6,1
7,1,7,0,1,0.0,10.0,3,6,1
8,1,8,1,0,0.0,100.0,1,6,1
9,1,9,1,1,0.0,2000.0,1,1,1
10,1,10,0,1,0.0,10.0,1,7,1
11,1,11,0,1,0.0,10.0,4,6,1
12,1,12,0,1,0.0,10.0,4,1,1
13,1,13,0,1,0.0,10.0,1,5,1
14,1,14,0,1,0.0,10.0,1,2,1
15,1,15,0,0,5.0,8.0,2,3,1
16,1,16,1,1,30.0,40.0,1,4,1
17,1,17,0,0,0.0,20000.0,1,6,1
18,1,18,0,1,0.0,1.0,4,3,1
19,1,20,0,1,0.0,1.0,4,7,1
20,1,21,0,1,0.0,1.0,4,19,1
21,1,22,0,1,0.0,1.0,3,19,1
22,1,23,0,1,0.0,0.1,1,1,1
23,1,24,0,1,0.0,2.0,1,6,1
24,1,25,0,0,0.0,1.0,1,6,1
25,1,26,0,1,0.0,1.0,4,2,1
26,1,27,0,1,0.0,1.0,4,13,1
27,1,28,0,1,0.0,1.0,4,6,1
28,1,29,0,1,0.0,1.0,4,13,1
29,1,30,0,1,0.0,1000.0,4,5,1
30,1,31,0,1,0.0,1.0,4,18,1
33,1,32,0,1,0.0,1.0,1,1,1
34,1,33,0,1,0.0,10.0,1,1,1
35,1,34,0,1,0.0,10.0,1,1,1
36,1,35,0,1,0.0,10.0,1,1,1
37,1,36,0,1,0.0,10.0,1,1,1
39,1,37,0,1,0.0,10.0,1,1,1
40,1,38,0,1,0.0,10.0,1,1,1
41,1,39,0,1,0.0,10.0,1,1,1
42,1,40,0,1,0.0,10.0,1,1,1
43,1,41,0,1,0.0,10.0,1,1,1
44,1,42,0,1,0.0,10.0,1,1,1
45,1,43,0,1,3.0,8.0,1,1,1
46,1,44,0,1,30.0,40.0,1,1,1
47,1,45,0,1,0.0,100.0,1,1,1
48,1,46,0,1,0.0,10.0,1,1,1
49,1,47,0,1,0.0,10.0,1,1,1
50,1,48,0,1,0.0,10.0,1,1,1
51,1,49,0,1,0.0,10.0,1,1,1
53,1,50,0,1,0.0,10.0,1,1,1
54,1,52,0,1,0.0,1.0,4,3,1
55,1,53,0,1,0.0,1.0,4,3,1
56,1,54,0,1,0.0,1.0,4,3,1
57,1,55,0,1,0.0,1.0,4,3,1
58,1,56,0,1,0.0,10.0,2,5,1
62,1,57,0,1,0.0,10.0,2,6,1
63,1,61,0,1,0.0,1.0,4,3,1
64,1,62,0,1,0.0,1.0,4,3,1
65,1,63,0,1,0.0,10.0,3,6,1
66,1,64,0,1,0.0,10.0,3,6,1
67,1,65,0,1,0.0,10.0,3,6,1
68,1,66,0,1,0.0,10.0,3,6,1
69,1,67,0,1,0.0,10.0,3,6,1
70,1,68,0,1,0.0,10.0,3,6,1
71,1,69,0,1,0.0,10.0,3,6,1
72,1,70,0,1,0.0,10.0,3,6,1
73,1,71,0,1,0.0,10.0,3,6,1
74,1,72,0,1,0.0,10.0,3,6,1
75,1,73,0,1,0.0,10.0,3,6,1
76,1,74,0,1,0.0,10.0,3,6,1
77,1,75,0,1,0.0,10.0,3,6,1
78,1,76,0,1,0.0,10.0,3,6,1
79,1,77,0,1,0.0,10.0,3,6,1
80,1,78,0,1,0.0,10.0,3,6,1
81,1,79,0,1,0.0,10.0,3,6,1
89,1,80,0,1,0.0,1.0,2,2,1
90,1,81,0,1,0.0,1.0,2,10,1
91,1,82,0,1,0.0,1.0,2,17,1
230,2,1,0,1,0.0,100.0,1,8,1
231,2,2,0,1,0.0,20.0,1,15,1
232,2,3,0,1,0.0,10.0,1,19,1
233,2,4,0,1,0.0,0.001,4,9,1
234,2,5,0,1,0.0,10.0,1,18,1
235,2,6,0,1,0.0,10.0,3,6,1
236,2,7,0,1,0.0,10.0,3,6,1
237,2,8,0,0,0.0,200.0,1,6,1
238,2,9,1,0,0.0,1000.0,1,1,1
239,2,10,0,1,0.0,10.0,1,7,1
240,2,11,0,1,0.0,10.0,4,6,1
241,2,12,0,1,0.0,10.0,4,1,1
242,2,13,0,1,0.0,10.0,1,5,1
243,2,14,0,1,0.0,10.0,1,2,1
244,2,15,0,0,5.0,8.0,2,3,1
245,2,16,0,1,30.0,40.0,1,4,1
246,2,17,0,0,0.0,20000.0,1,6,1
247,2,18,0,1,0.0,1.0,4,3,1
248,2,20,0,1,0.0,1.0,4,7,1
249,2,21,0,1,0.0,1.0,4,19,1
250,2,22,0,1,0.0,1.0,3,19,1
251,2,23,0,1,0.0,0.1,1,1,1
252,2,24,0,1,0.0,2.0,1,6,1
253,2,25,0,0,0.0,1.0,1,6,1
254,2,26,1,0,0.0,1.0,2,2,1
255,2,27,0,1,0.0,1.0,4,13,1
256,2,28,0,1,0.0,1.0,4,6,1
257,2,29,0,1,0.0,1.0,4,13,1
258,2,31,0,1,0.0,1.0,4,18,1
259,2,32,0,1,0.0,1.0,1,1,1
260,2,33,0,1,0.0,10.0,1,1,1
261,2,34,0,1,0.0,10.0,1,1,1
